,precision,recall,f1-score,support,AUC,accuracy,model
macro avg,0.8645278498129476,0.8598184444570328,0.860868637000467,1064.0,0.8598184444570328,0.8618421052631579,GaussianLogReg_50
weighted avg,0.8635361902868715,0.8618421052631579,0.8613936535915812,1064.0,0.8598184444570328,0.8618421052631579,GaussianLogReg_50
0,0.8934782608695652,0.8090551181102362,0.8491735537190083,508.0,0.8604628108536791,0.8627819548872181,GaussianLogReg_100
1,0.8394039735099338,0.9118705035971223,0.8741379310344828,556.0,0.8604628108536791,0.8627819548872181,GaussianLogReg_100
macro avg,0.8664411171897495,0.8604628108536793,0.8616557423767455,1064.0,0.8604628108536791,0.8627819548872181,GaussianLogReg_100
weighted avg,0.8652213964222389,0.8627819548872181,0.8622188486319817,1064.0,0.8604628108536791,0.8627819548872181,GaussianLogReg_100
0,0.8587786259541985,0.8858267716535433,0.872093023255814,508.0,0.8763666232368437,0.8759398496240601,GaussianLogReg_200
1,0.8925925925925926,0.8669064748201439,0.8795620437956204,556.0,0.8763666232368437,0.8759398496240601,GaussianLogReg_200
macro avg,0.8756856092733956,0.8763666232368437,0.8758275335257172,1064.0,0.8763666232368437,0.8759398496240601,GaussianLogReg_200
weighted avg,0.8764483303253894,0.8759398496240601,0.8759960076732316,1064.0,0.8763666232368437,0.8759398496240601,GaussianLogReg_200
0,0.9377593360995851,0.889763779527559,0.913131313131313,508.0,0.9179034724975924,0.9191729323308271,GaussianLogReg_400
1,0.9037800687285223,0.9460431654676259,0.9244288224956063,556.0,0.9179034724975924,0.9191729323308271,GaussianLogReg_400
macro avg,0.9207697024140538,0.9179034724975925,0.9187800678134597,1064.0,0.9179034724975924,0.9191729323308271,GaussianLogReg_400
weighted avg,0.9200032527741049,0.9191729323308271,0.919034898851752,1064.0,0.9179034724975924,0.9191729323308271,GaussianLogReg_400
0,0.946236559139785,0.8661417322834646,0.9044193216855088,508.0,0.9105888517532431,0.9125939849624061,GaussianLogReg_800
1,0.8864774624373957,0.9550359712230215,0.9194805194805195,556.0,0.9105888517532431,0.9125939849624061,GaussianLogReg_800
macro avg,0.9163570107885903,0.910588851753243,0.9119499205830142,1064.0,0.9105888517532431,0.9125939849624061,GaussianLogReg_800
