matchId,blue_win,blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueChampKills,blueHeraldKills,blueTowersDestroyed,redChampKills,redHeraldKills,redTowersDestroyed
3431879199.0,1,27864.0,370.0,88.0,9.4,25379.0,359.0,84.0,9.0,15.0,2.0,1.0,6.0,0.0,0.0
3431092003.0,1,24131.0,371.0,62.0,8.8,25638.0,368.0,88.0,9.2,6.0,0.0,0.0,9.0,3.0,1.0
3509306577.0,1,28323.0,326.0,137.0,9.4,24279.0,338.0,48.0,9.0,14.0,3.0,0.0,11.0,0.0,1.0
3502250263.0,1,31500.0,355.0,90.0,9.8,24002.0,270.0,70.0,9.0,19.0,3.0,0.0,9.0,0.0,2.0
3509883059.0,1,24471.0,374.0,81.0,9.2,25510.0,347.0,86.0,9.8,9.0,0.0,0.0,8.0,3.0,0.0
3500885194.0,1,29102.0,378.0,82.0,9.0,23064.0,331.0,75.0,8.6,14.0,1.0,0.0,6.0,1.0,2.0
3424878060.0,1,29376.0,365.0,85.0,9.8,24844.0,348.0,88.0,9.0,15.0,1.0,1.0,8.0,2.0,1.0
3470990154.0,1,30625.0,372.0,112.0,9.8,21423.0,320.0,81.0,8.4,12.0,1.0,0.0,4.0,2.0,2.0
3512227751.0,1,28017.0,361.0,91.0,9.4,23839.0,348.0,84.0,9.2,9.0,2.0,0.0,7.0,1.0,3.0
3492192519.0,1,24353.0,320.0,80.0,9.0,27104.0,326.0,86.0,9.2,10.0,1.0,2.0,10.0,2.0,0.0
3506611227.0,1,30824.0,383.0,80.0,10.0,25198.0,300.0,87.0,9.2,22.0,0.0,0.0,10.0,1.0,1.0
3496354451.0,1,29660.0,362.0,116.0,9.8,22080.0,324.0,74.0,9.0,15.0,3.0,0.0,4.0,0.0,3.0
3501998042.0,1,27968.0,371.0,104.0,9.6,22235.0,347.0,76.0,8.4,12.0,1.0,0.0,5.0,1.0,0.0
3481223909.0,1,29733.0,311.0,115.0,9.6,26734.0,285.0,92.0,9.2,22.0,0.0,0.0,14.0,2.0,0.0
3511947921.0,1,30110.0,326.0,104.0,9.6,24318.0,302.0,65.0,8.4,16.0,2.0,1.0,9.0,1.0,2.0
3452830314.0,1,27016.0,376.0,65.0,9.0,24536.0,362.0,104.0,9.0,10.0,3.0,1.0,3.0,0.0,2.0
3502036189.0,1,27189.0,330.0,67.0,9.4,25648.0,319.0,95.0,9.6,13.0,1.0,0.0,11.0,1.0,1.0
3496666516.0,1,29267.0,348.0,77.0,9.2,28850.0,315.0,93.0,9.6,16.0,1.0,1.0,17.0,1.0,1.0
3509375577.0,1,26698.0,371.0,76.0,9.0,23675.0,333.0,96.0,9.0,11.0,2.0,0.0,6.0,1.0,1.0
3425791712.0,1,30646.0,365.0,120.0,9.8,24243.0,344.0,79.0,8.8,14.0,3.0,0.0,8.0,0.0,3.0
3504898209.0,1,23231.0,348.0,80.0,9.0,25826.0,360.0,93.0,9.4,5.0,0.0,0.0,10.0,2.0,0.0
3495084187.0,1,26490.0,361.0,75.0,9.4,24833.0,360.0,72.0,8.8,11.0,0.0,0.0,7.0,3.0,0.0
3468254234.0,1,30769.0,363.0,116.0,9.8,22270.0,285.0,82.0,8.2,14.0,2.0,0.0,5.0,0.0,2.0
3496869165.0,1,27108.0,336.0,94.0,9.4,26626.0,372.0,73.0,9.4,12.0,3.0,1.0,12.0,0.0,1.0
3481281996.0,1,29225.0,328.0,94.0,9.4,26952.0,324.0,90.0,9.2,15.0,3.0,0.0,12.0,0.0,1.0
3500210259.0,1,22567.0,327.0,92.0,8.8,28920.0,352.0,96.0,9.6,6.0,0.0,1.0,15.0,3.0,0.0
3489849562.0,1,30861.0,396.0,92.0,9.8,25200.0,307.0,74.0,9.2,18.0,3.0,0.0,11.0,0.0,1.0
3494703661.0,1,27686.0,337.0,104.0,9.2,18165.0,194.0,51.0,6.4,9.0,2.0,0.0,6.0,0.0,5.0
3467712055.0,1,23837.0,370.0,59.0,9.0,25709.0,375.0,70.0,9.0,8.0,0.0,0.0,11.0,2.0,0.0
3444454178.0,1,24873.0,317.0,76.0,8.4,28880.0,323.0,80.0,9.2,9.0,1.0,1.0,16.0,2.0,0.0
3491884924.0,1,27529.0,365.0,60.0,9.2,25560.0,320.0,84.0,9.2,13.0,1.0,1.0,11.0,2.0,3.0
3493901273.0,1,28931.0,322.0,80.0,9.4,23998.0,332.0,80.0,8.8,17.0,2.0,0.0,7.0,0.0,1.0
3506958540.0,1,25929.0,334.0,104.0,9.2,24630.0,347.0,54.0,8.8,12.0,1.0,0.0,9.0,2.0,0.0
3510420991.0,1,27133.0,276.0,80.0,9.2,24013.0,328.0,74.0,8.4,20.0,2.0,0.0,8.0,0.0,0.0
3498010497.0,1,27517.0,336.0,52.0,9.0,27220.0,323.0,78.0,9.0,14.0,1.0,2.0,10.0,2.0,2.0
3510664039.0,1,24708.0,351.0,88.0,9.0,24345.0,332.0,68.0,9.0,6.0,0.0,1.0,6.0,2.0,1.0
3448927906.0,1,29275.0,340.0,86.0,9.2,24356.0,308.0,90.0,9.2,16.0,1.0,0.0,9.0,2.0,2.0
3504184450.0,1,27174.0,368.0,91.0,9.0,24864.0,327.0,100.0,9.4,12.0,1.0,0.0,7.0,2.0,1.0
3507754563.0,1,32546.0,376.0,112.0,9.6,23210.0,269.0,62.0,8.2,20.0,2.0,0.0,12.0,1.0,3.0
3464923704.0,1,30926.0,340.0,67.0,9.8,25275.0,338.0,64.0,8.8,15.0,1.0,1.0,10.0,1.0,3.0
3506991191.0,1,27762.0,345.0,72.0,9.2,22555.0,301.0,68.0,8.2,17.0,3.0,0.0,6.0,0.0,1.0
3396550745.0,1,22604.0,362.0,99.0,8.8,25670.0,359.0,88.0,9.2,5.0,3.0,1.0,7.0,0.0,0.0
3492425848.0,1,27467.0,360.0,96.0,9.2,25393.0,341.0,65.0,9.6,11.0,2.0,0.0,12.0,1.0,1.0
3479502226.0,1,27101.0,347.0,85.0,9.4,24031.0,374.0,69.0,8.8,14.0,3.0,0.0,5.0,0.0,0.0
3482589196.0,1,26752.0,326.0,84.0,9.2,27275.0,392.0,80.0,10.0,12.0,0.0,0.0,13.0,2.0,0.0
3477510393.0,1,29112.0,352.0,86.0,9.8,22119.0,292.0,82.0,8.6,17.0,1.0,0.0,4.0,1.0,2.0
3454633594.0,1,29000.0,375.0,84.0,9.6,25251.0,390.0,95.0,9.4,14.0,2.0,0.0,5.0,1.0,1.0
